timestamp,step,stride_pace,step_rate,stride_length,contact_time,flight_ratio,power,shock,impact_gs,braking_gs,footstrike_type,pronation_excursion_fs_mp,max_pronation_velocity,grf_vert_peak,contact_ratio,flight_time,stride_angle,kleg,kvert,grf_vert,grf_horiz,swing_force_rate,total_force_rate,vo2,time_max_fs,time_fs_mpv,time_mpv_mp,time_mp_to,time_to_min,time_swing,medial_lateral_gs,braking_gs_amp,impact_gs_amp,vertical_speed,elevation_gain,swing_excursion,yaw_excursion_fs_mp,yaw_excursion_mp_to,yaw_excursion_swing,stance_velocity_max_fs_mp,stance_velocity_max_mp_to,temperature,step_length,pronation_excursion_mp_to,stance_excursion_fs_mp,stance_excursion_mp_to
48104.0,16,1.5663,119.6411,1.5702,624,0,181,4.1673,2.6133,3.2461,10,-13.7188,429.5044,1.2147,124.4267,-123,5.3997,40.5167,0,15.7212,2.8997,0.3976,39.2487,14.6871,55,8,42,574,26,319,5.6563,1.5625,1.1875,-1.6602,,69.375,4.5,11.3125,5.2031,469.8486,487.6099,,0.7851,-21.6875,8.6094,67.3125
49107.0,17,1.5663,119.5219,1.5702,658,0,181,3.3454,1.5039,2.9883,8,-9.2344,279.9072,1.0517,131.0757,-156,8.6453,0,0,14.9088,2.9313,0.4148,39.077,14.605,38,2,48,608,24,304,1.1992,2.3125,0.3125,-1.6602,,80.9063,-1.3281,17.4219,12.4531,370.7275,532.0435,,0.7851,-14.4375,13.4375,76.5156
50111.0,18,1.551,115.0527,1.5702,660,0,180,3.125,2.4141,1.9844,10,2.3438,61.2793,1.1606,126.558,-139,6.883,0,0,14.8636,2.8983,0.2877,35.089,12.6979,9,62,254,1624,27,328,1.6172,0.8125,1.3125,-1.6602,,82.5469,9.2188,6.3438,18.5938,370.7275,530.8838,,0.7851,-20.4688,8.9531,75.2969
51154.0,19,1.5433,116.0542,1.5702,654,0,179,2.5495,0.3633,2.5234,12,-4.5469,174.1333,1.1621,126.499,-137,6.6882,0,0,15.0,2.8754,0.3086,35.759,13.0183,20,6,26,622,22,328,1.1875,0.875,1.0,-1.6602,,88.2031,1.1563,18.0,18.2969,295.8374,560.5469,,0.7851,-21.2656,4.6875,82.6563
52188.0,20,1.5395,115.0527,1.5702,676,0,179,2.4528,0.3633,2.4258,12,-6.1406,270.3857,1.0858,129.6261,-155,8.5365,0,0,14.5118,2.8872,0.293,34.8517,12.5844,,6,22,648,22,327,1.2461,0.75,1.5,-1.6602,,86.8594,1.6406,17.9688,18.0,355.7739,524.231,,0.7851,-25.9219,4.4063,81.6406
53231.0,21,1.5395,117.8782,1.5702,640,0,179,2.8077,1.3867,2.4414,9,-6.7969,210.4492,1.1813,125.7367,-131,6.1197,341.6723,0,15.3281,2.8543,0.3504,37.2571,13.7347,28,18,30,592,26,330,1.2773,2.5,0.6875,-1.6602,,84.3125,0.9531,15.4688,15.5469,309.082,557.0679,,0.7851,-19.0469,11.0469,76.1719
54249.0,22,1.5395,121.5805,1.5702,633,0,179,3.4262,2.0117,2.7734,11,-8.9844,325.6226,1.1185,128.2675,-140,6.9814,0,0,15.4976,2.8483,0.4474,40.3122,15.1956,65,16,26,591,22,304,1.2227,3.0625,1.4375,-1.6602,,83.4531,1.7344,16.3125,13.4219,389.4043,549.6216,,0.7851,-14.4375,6.5625,78.125
55236.0,23,1.5471,121.7039,1.5702,612,0,180,4.0166,2.2773,3.3086,9,-8.25,248.9014,1.2222,124.1379,-119,5.056,46.0103,0,16.0294,2.8475,0.4336,40.4272,15.2506,70,10,38,564,20,322,1.7578,2.5625,1.3125,-1.6602,,78.8281,2.0156,16.1875,15.5313,382.7515,540.0391,,0.7851,-18.3906,12.125,75.1563
56222.0,24,1.5471,120.1201,1.5702,624,0,180,5.4912,2.6797,4.793,12,-4.3281,231.3232,1.2019,124.9249,-125,5.5756,72.1795,0,15.7212,2.8575,0.4049,39.2971,14.7102,55,8,18,598,20,325,1.2109,4.0,1.5,-1.6602,,90.5313,0.3438,16.4375,12.1875,376.709,536.499,,0.7851,-18.3906,5.2969,86.3281
57221.0,25,1.5433,117.6471,1.5702,646,0,179,5.8273,2.4375,5.293,11,-0.6875,253.6621,1.1579,126.6667,-136,6.5917,0,0,15.1858,2.8682,0.3486,37.1161,13.6673,40,2,30,614,20,318,0.6133,2.0,0.6875,-1.6602,,86.2813,-2.5625,12.5938,6.8438,376.4038,520.3857,,0.7851,-6.3594,7.5781,82.6406
58241.0,26,1.551,119.403,1.5702,642,0,180,4.9152,1.1719,4.7734,10,-5.9375,223.4497,1.1308,127.7612,-140,6.9814,0,0,15.2804,2.8817,0.3993,38.7871,14.4663,43,10,28,604,25,314,0.9102,2.6875,1.5,-1.6602,,88.4063,0.2031,19.3281,15.8906,410.8276,556.9458,,0.7851,-23.875,10.7031,83.1094
59246.0,27,1.551,116.7315,1.5702,672,0,180,3.2062,0.9492,3.0625,10,-9.875,306.0913,1.0595,130.7393,-158,8.8649,0,0,14.5982,2.9098,0.3395,36.4224,13.3355,14,10,30,632,20,318,1.375,1.9375,2.0,-1.6602,,88.5469,2.0313,19.2188,19.2969,435.6079,516.6626,,0.7851,-21.25,10.2969,84.7344
